Num_Users,Action,Cost_ETH,Cost_USD_ETH,Cost_MATIC,Cost_USD_MATIC
35,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
35,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
35,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
35,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
36,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
36,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
36,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
36,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
36,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
36,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
36,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
37,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
37,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
37,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
37,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
37,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
37,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
37,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
38,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
38,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
38,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
38,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
38,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
38,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
38,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
39,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
39,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
39,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
39,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
39,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
39,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
39,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
40,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
40,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
40,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
40,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
40,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
40,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
40,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
41,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
41,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
41,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
41,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
41,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
41,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
41,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
42,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
42,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
42,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
42,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
42,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
42,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
42,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
43,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
43,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
43,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
43,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
43,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
43,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
43,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
44,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
44,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
44,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
44,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
44,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
44,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
44,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
45,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
45,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
45,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
45,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
45,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
45,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
45,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
46,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
46,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
46,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
46,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
46,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
46,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
46,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
47,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
47,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
47,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
47,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
